Date,ABNB,TSLA,F,ZM,INTC,SP500
2021-04-30,-0.01505560307955478,-0.039804969135718404,-0.05718954248366015,-0.03854022504362453,-0.11519532451553316,0.0027855476565779025
2021-05-31,-0.18707660239708146,-0.11871353229438819,0.25909878682842336,0.03742529023375152,-0.0010938640709191594,0.006534483932804536
2021-06-30,0.09074074074074168,0.0871375225802784,0.022711631108051522,0.16740566464573448,-0.017156834340083194,0.023005150271708574
2021-07-31,-0.059618649601671514,0.011034290381475964,-0.061238223418572324,-0.02307314678448702,-0.043106442105243614,0.023453292260738445
2021-08-31,0.07624470522880422,0.07060518901829527,-0.06594982078853084,-0.23432954244908621,0.012818167021136917,0.029980599455263324
2021-09-30,0.08232789212207292,0.054042385383477276,0.08672294704528039,-0.09671848013816875,-0.014428473580164414,-0.04682778907846552
2021-10-31,0.017347242921013306,0.43652961373393984,0.2062146892655372,0.05028680688336529,-0.08033028733040293,0.0697862017317441
2021-11-30,0.011016055314660322,0.02761220085640237,0.12928044496487234,-0.23025669033315022,0.011017095019672851,-0.007350263310149319
2021-12-31,-0.03506433290831068,-0.07685452099730927,0.08233455740349971,-0.13007899342509743,0.046747912373928946,0.044455113506453925
2022-01-31,-0.07519971169439577,-0.11360935360065716,-0.017626972893709625,-0.16111141319123445,-0.05203880533000971,-0.05199885487710676
2022-02-28,-0.01610703383776002,-0.0707681103280764,-0.13497544689920127,-0.1405237231008556,-0.01551328968487975,-0.03036727279538054
2022-03-31,0.13380421149910915,0.23800884556803514,-0.037015856731359764,-0.11591251885369547,0.03899375943775807,0.03672276866573854
2022-04-30,-0.1079995342338137,-0.19194506453444382,-0.15711298693734577,-0.15064403309732954,-0.12046009547224856,-0.0874288015857062
2022-05-31,-0.21108282749167762,-0.1291975398708125,-0.03389823975718942,0.07914030330420907,0.027380731514746293,0.0013000044014923606
2022-06-30,-0.2630098452883255,-0.11188774086898257,-0.18640354802440684,0.004839460214054236,-0.1578118412617895,-0.08295632633660643
